Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
"Im not 1  not 3 but 2 years late
Oh yes that fit",,13,8,0,0,0.0,0
why did i get a liberal arts degree XD,,9,4,0,0,0.0,0
I just saw an add for the Grinch and now I headcanon Max as the Grinchs dog,,17,8,0,0,0.0,0
Only 20 seconds in and I already love Max,,9,6,0,0,0.0,0
HOW MUCH DID THEY PAY MILES TO BE THIS HAPPY,,10,10,0,0,0.0,0
is it just me or did my mother learn her parenting skills from gwen,,14,5,0,0,0.0,0
*H O O E Y*,,5,5,0,0,0.0,0
151 *_Laughs Whilst Tposing_*,,4,4,0,0,0.0,0
Max acts like how I act at school XD,,9,5,0,0,0.0,0
"Im an agent of chaos
I have a favourite character",,9,5,0,0,0.0,0
822 FBI Open up,,4,3,0,0,0.0,0
David welcome to camp AAAAAAAAAH Me camp ah,,8,5,0,0,0.0,0
I love it already,,4,2,0,0,0.0,0
"MaxKarkat
NeilTavros
NikkiTerezi
DavidJohn Change my mind",,4,3,0,0,0.0,0
This looks so innocent BUT IT IS NOT I LOVE IT,,11,9,0,0,0.0,0
recommend this to ever freaking toddler notreally XD,,8,5,0,0,0.0,0
Good god ITS A MASTERPIECE,,5,5,0,0,0.0,0
Who else is bingewatching the series AGAIN,,7,4,0,0,0.0,0
oh and for season 3 four please make another couple appear *cough* *cough* max and Neil *cough* *cough* P dont judge me its a ship I will stand by even if they are ten ,ship,35,19,1,0.02857142857142857,0.05263157894736842,1
*WHAT THE GOSH DARN HECK HAPPENED*,,6,6,0,0,0.0,0
I hope this is on YouTube kids,,7,4,0,0,0.0,0
max is just one big mood,,6,3,0,0,0.0,0
"I like Nikki and max
Nikki Just a little cutie and adventurous 
Max doesnt like anything but getting out of camp Campbell",,21,10,0,0,0.0,0
when David plays the guitar does anyone else notice that hes doing this ,,14,5,0,0,0.0,0
I laugh at Davids scream,,5,4,0,0,0.0,0
they must have a pretty good budget on knitting camp if Max can knit replicas of two new campers who he doesnt know it only a few seconds,,28,11,0,0,0.0,0
I THOUGHT THIS WAS FOR KIDS ,,7,7,0,0,0.0,0
When Nikki threw the pin I though she knew projection calculations  but she cant drive,pin,16,11,1,0.0625,0.09090909090909091,1
Gwen is the biggest mood in existence Also who else got here off of RWBY,,15,6,0,0,0.0,0
Idk but sometimes Max reminds me of Damian Wayne for reals kind of looks like him sometimes I think he looks like Percy Jackson too,,25,10,0,0,0.0,0
I swear I feel like im taller than Max but hes 1 year older than me,,16,9,0,0,0.0,0
Boi I actually really loved summer camp as a kid tho,,11,7,0,0,0.0,0
Gwen is my favorite Shes hilarouis,,6,4,0,0,0.0,0
Stupid prepubescent legs But but you where using your arms Max do you know how body parts work,,18,9,0,0,0.0,0
I like how max doesnt even engage with the girl at all when they arrive or for any part of the episode except to compliment neil Also why does he keep inviting Neil to escape with him Good kids show,,40,15,0,0,0.0,0
200 I was sent to a camp once as a kid I tried escaping by bus ooh there were damages heh I still never regret it,bus,26,12,1,0.038461538461538464,0.08333333333333333,1
Max is a  M O O D,,8,6,0,0,0.0,0
Pause at 115 then scroll down so that the time bar aligns with the top of the screen Result Hilarious,,20,10,0,0,0.0,0
Whats with David and getting hit by buses Seriously it happens like four times throughout the series Edit holy crapplesauce this has over 500 likes thANks,,26,13,0,0,0.0,0
"Youre on your own now
*takes out bottle of koolaid*
Im goin on break",,12,6,0,0,0.0,0
Good morning gweMOTHER FU**ER,,4,4,0,0,0.0,0
Animation does NOT equal kid friendly,,6,5,0,0,0.0,0
The Camp Salute is the Shocker  Look it up,,10,6,0,0,0.0,0
Is David based off Mr Timothy Oneil from Daria,,9,7,0,0,0.0,0
I ship gwen and david XD,ship,6,5,1,0.16666666666666666,0.2,1
Why does Mickey look like Stewie Griffin,,7,4,0,0,0.0,0
Ok comic *saNESS WE ALREAD GUT IT U SWEAR*,,9,9,0,0,0.0,0
*Crippling anxiety and regret* i nEED A MEME OF THIS,,10,8,0,0,0.0,0
When Max first started talking I loved it Max is basically me everywhere,,13,8,0,0,0.0,0
"revisiting the first episode of the greatest series on earth
I like this better than Friends *that is impressive on your part*",,21,10,0,0,0.0,0
*when sibling takes last slice of pizza* 1111,,8,6,0,0,0.0,0
OK OK OK OK STORY TIME I first discovered this a few months after going to science camp Of course it was SHEER COINCIDENCE that the camp these kids go to are also called CAMP CAMPBELL as the science camp I went to was called YMCA CAMP CAMPBELL search it up its legit I found this through recommended but the first episode was a bit too intimidating as I wasnt really expecting crazy cursing so I kinda drifted away from it Couple months later My friend who went to the same camp got really into this and asked me to watch it so I gave it another shot Now IM dragged into this as well EVEN MORE COINCIDENCES The field leader my friend and I hads real name was DAVID of all FLIPPING THINGS,bit,134,68,1,0.007462686567164179,0.014705882352941176,1
Max is by far the character other than Nikki,,9,3,0,0,0.0,0
Maxneil is the best ship in the episode one right now Then it was Nikeil then Makki then Makkeil We have grown stronger,ship,23,11,1,0.043478260869565216,0.09090909090909091,1
1111 RIP DAVID GUTAIR *Sees the gutair in another episode* HOW,,11,8,0,0,0.0,0
602 pause right there Do you see the  Flower If yes move on If no look at the painting,,20,9,0,0,0.0,0
"David Because I can have a little song to sing
Gwen No
David When Gwen isnt here",,15,9,0,0,0.0,0
She saidAnxiety like Virgil dont  hurt him,,8,6,0,0,0.0,0
hellO Welcom to camp aAAAA David campman,,7,6,0,0,0.0,0
"I love the ending 
Red haird teen dudeOh cmon Gwen 
Gwen*sees him taking out his guitar* NO
rhtd*keeps taking out guitar*
Gwen *grabs guitar and starts hitting him with it so hard it starts to break*
RhtdNO NO NOOO *knocked out*
Gwen*throws remains of guitar and walks away*
CLASSIC ",,45,28,0,0,0.0,0
This show makes tweening  look good,,7,4,0,0,0.0,0
Rooster teeth does what nick toons dont,,7,5,0,0,0.0,0
 BUT TWO NEW FRIENDS TODAY   *pulls out guitar* *STARTS BEATING HIM WITH THE GUITAR*,,17,16,0,0,0.0,0
"Why Im rewatching this series for the 29484839384757294784 time
help",,9,6,0,0,0.0,0
The first minute was me and my best friend last year Im max shes David,,15,8,0,0,0.0,0
"When Nicky came out of the bus I knew she was me 
1She likes the smell of nature
2She smiles at everything
3She bites people 
3",bus,24,14,1,0.041666666666666664,0.07142857142857142,1
Ive come here to join the fandom Why are you all here,,12,4,0,0,0.0,0
"other magic camp **nerris hits harrison**
LIGHTNING BOLT
Me ASDHUASHDAHSDASD",,8,7,0,0,0.0,0
I NEED A PLAYLIST OF THE MUSIC AT THE END OF ALL THE SHOWS,,14,14,0,0,0.0,0
i thought this was family friendly,,6,3,0,0,0.0,0
104 JESUS strong tounge there Max Dave,,7,6,0,0,0.0,0
My name is David your camp *BEST SCREAMING EVER*,,9,6,0,0,0.0,0
"David because I have a little song
Gwen no
David when Gwen is not around",,13,5,0,0,0.0,0
I love how Mr Campbell instead of using the magnifying glass on the table to highlight the fine print manipulates the laws of physics and pulls one of of thin air THATS science,,33,18,0,0,0.0,0
Max is mood,,3,2,0,0,0.0,0
"definitely not that
you are the bane of my existence",,9,4,0,0,0.0,0
HOW ABOUT THAT SONG YOU WONT SHUT UP ABOUT  *OH YEAH* *_Jesus Christ_*,,14,14,0,0,0.0,0
Wait is max wearing a choker,,6,4,0,0,0.0,0
 My stupid prepubescent legs  That cracked me up x,,11,8,0,0,0.0,0
when I started watching camp camp i was like *I JUST WATCHED THE FIRST EPISODE WHY IS IT SO GOOD*,,20,16,0,0,0.0,0
"1100
After watching this series so many times i just noticed this
is david okay",,13,7,0,0,0.0,0
Oh boy I heard so much for this show *david get hit by the bus* Well then,,17,8,0,0,0.0,0
HOWD THEY MAKE THOSE DUMMIES SO FAST,,7,7,0,0,0.0,0
i love how i just started watching camp camp 5 minutes ago and im already in the fandom,,18,9,0,0,0.0,0
Poor David i just say that,,6,2,0,0,0.0,0
Max seems like Karkat Vantas from Homestuck  Look it up if you dont know what it is  Join us  Sell your soul to Hussie,,27,13,0,0,0.0,0
I can see David having an extremely darkEvil side ifwhen he snaps,,12,7,0,0,0.0,0
I recently started watching camp camp and I love it,,10,7,0,0,0.0,0
Gwen is an actual mood,,5,3,0,0,0.0,0
*No runnin*,,2,2,0,0,0.0,0
710 Roll credits,,3,3,0,0,0.0,0
I could seriously watch Gwen hitting David with that guitar all day ALL DAY,day,14,10,1,0.07142857142857142,0.1,1
I cracked up when Gwen smashed Davids guitar on him,,10,6,0,0,0.0,0
I have found myself in this cartoon D David OooOOoOOoOoh the positivity v Is gosh dinggly darn great,,18,11,0,0,0.0,0
thats just a bunch of hooey,,6,2,0,0,0.0,0
That old guy reminds me of the janitor from kindergarten,,10,5,0,0,0.0,0
Whoa michael did an amazing job barely recognized his voice except from the first few minutes,,16,8,0,0,0.0,0
906 a message to all tiktokkers,,6,3,0,0,0.0,0
Is ANYONE gonna question why that laser disk was so big oO Otherwise this is my 6th full series bingeand I still love this show to pieces X3,,28,17,0,0,0.0,0
117 David is me their and depression and anxiety is that bus,bus,12,5,1,0.08333333333333333,0.2,1
you are the ban of my existenceMax,,7,2,0,0,0.0,0
The rated R gravity falls,,5,5,0,0,0.0,0
Max looks easy to carryITS SO CUTE ,,8,6,0,0,0.0,0
camp  camp thats a nice title for a serie very original LOL jk,,14,9,0,0,0.0,0
            ,,13,13,0,0,0.0,0
124 nikki is me but with a meme and nature,,10,4,0,0,0.0,0
i actually thought was a friendly cartoon until 058,,9,4,0,0,0.0,0
Max HAHAHAHHAHAHAH *bus gets crashed* wow good job max LMAOOO,,10,9,0,0,0.0,0
"I was waiting for a cool familyfriendly show
*Max start speaking*
JESUS CHRIST LANGUAGE WOW OK I kinda like this show",,19,13,0,0,0.0,0
Why is Neil actually John deacon,,6,4,0,0,0.0,0
THIS is amazing No runnin,,5,4,0,0,0.0,0
I *thought* Max sounded familiar Sneaky Michael you thought I wouldnt recognize your voiceall those lets plays have served me well,,21,14,0,0,0.0,0
 OMG I was just watching the series again and I realized Nikkis outfit looks exactly like Stewie from Family Guy,,21,13,0,0,0.0,0
I got all my friends hocked on this  your welcome,,11,4,0,0,0.0,0
This is my new fav show,,6,2,0,0,0.0,0
"So what Its just some sort of Camp Camp
Roll credits *ding*
Alright who gets the joke",,15,8,0,0,0.0,0
I just finished catching up RWBY Nomad of Nowhere and Red vs Blue and decided to watch this And I love it,,22,13,0,0,0.0,0
Max is my soul animal,,5,3,0,0,0.0,0
"I couldnt stop laughing at the end of the episode 
David Not one not two but three new friends today  *Slowly pulls out guitar   *Gwen takes it from him and starts beating him with it*  Hahahahahah",,40,21,0,0,0.0,0
alright this seems pretty fun I like the dynamic between Max and David And the humor is on point,,19,10,0,0,0.0,0
Looks like the cops went to Star Wars Camp and took lessons on how to shoot like a Stormtrooper,,19,8,0,0,0.0,0
every episode watched equals 1 camp camp meme,,8,7,0,0,0.0,0
1111 Im crying ,,4,4,0,0,0.0,0
Remember this *FACE* DAVID because youll never see it again * crashes buss *,,14,8,0,0,0.0,0
so i wanted to see what all the camp camp talk was about no regrets,,15,5,0,0,0.0,0
David and who wouldnt                Everybody who has eyes DAVID,,24,19,0,0,0.0,0
"Cus i have a little song i can sing
No
When gwens not around",,12,4,0,0,0.0,0
"Oh God its coming back The anxiety and regret
WHY DID I GET A LIBERAL ARTS DEGREE
Shes me through and through",,20,13,0,0,0.0,0
Finally getting around to this,,5,1,0,0,0.0,0
This is amazing I was skeptical but now just lmao,,10,5,0,0,0.0,0
Why did I wait to watch this show This is great,,11,6,0,0,0.0,0
Insert lenny face on David 1108,,6,5,0,0,0.0,0
Im like Max I dont care about anything,,8,5,0,0,0.0,0
"1109
When your parents leave the living room and you pull out the gaming controller but your aunt comes in",,19,9,0,0,0.0,0
1110 my friend about to play Christmas music and me,,10,5,0,0,0.0,0
if gravity falls and south park had a baby,,9,5,0,0,0.0,0
A lots of feels Im crying,,6,5,0,0,0.0,0
"Oooooooh  I get the title 
Its a collection of camps 
Camp camp",,13,9,0,0,0.0,0
Max reminds me of Lance but with profanity,,8,4,0,0,0.0,0
This is my 15th time binge watching this,,8,5,0,0,0.0,0
I can imagine this on Comedy Central or Adult Swin XD,,11,7,0,0,0.0,0
Remember when quarter master wasnt a possible murderer,master,8,4,1,0.125,0.25,1
I remember clicking on this and hearing a swear word and was like Swear word alert And left Came back 2 days later and bing watched it all,,28,16,0,0,0.0,0
some one needed to hit him with that guitar,,9,3,0,0,0.0,0
Max is my *spirit Animal*,,5,3,0,0,0.0,0
OMG I HAD NO CLUE WHAT THIS WAS THIS IS TO GOOD THE KID WHO SWORE IS MY FAVOURITE OMG HE IS BEST CHARACTER ALREADY,,25,25,0,0,0.0,0
Im not sure what Ive got myself into here,,9,2,0,0,0.0,0
Take a shot every time David screams,,7,5,0,0,0.0,0
Whats funny is my class was going to Camp Campbell and Im now glad I missed it,,17,10,0,0,0.0,0
After catching up on RWBY I thought what else I could watch from rooster teeth while waiting for the next season to come out then I found this series and I love it,,33,15,0,0,0.0,0
anyone know the name of the game they show after the end credits,,13,2,0,0,0.0,0
I just realized the parks and recreation reference Camp David,,10,7,0,0,0.0,0
Davids *s c r e a m s*,,8,3,0,0,0.0,0
"058
Wow Language 
This was not what I expected ",,9,6,0,0,0.0,0
40 seconds in and i already decided max is the most relatable character ive ever seen,,16,7,0,0,0.0,0
Max is a big mood,,5,3,0,0,0.0,0
OmgHOW DID DAVID SURVIVE THAT,,5,5,0,0,0.0,0
Its like if camp Lazlo and gravity falls had a baby,,11,6,0,0,0.0,0
What the *GOSH DARN HECK* happened,,6,5,0,0,0.0,0
"WHAT THE GOSH DARN HECK HAPPENED HERE
Space kid
Me h my gosh darn heck",,13,11,0,0,0.0,0
837 awww look at David hes sho shad ,sho,9,6,1,0.1111111111111111,0.16666666666666666,1
Im coming back to rewatch this after a year,,9,4,0,0,0.0,0
WATCH YOUR PROFANITY,,3,3,0,0,0.0,0
Algum Br caraiuh   T m isolada aqui ,,10,9,0,0,0.0,0
Damn Cinder looking like she has to hunt down the Avatar to reclaim her honor,,15,6,0,0,0.0,0
"Can we take a moment to remember
Monty
Penny
Pyrrah
And my heart",,9,4,0,0,0.0,0
isnt pumpkin Pete the cereal Pyrrha was on the box for,,11,6,0,0,0.0,0
From a Friend MY HEART HURTS,,6,5,0,0,0.0,0
Throwback to when this first came out and we had no idea who Oscar was,,15,3,0,0,0.0,0
I feel like when Ren uses his guns it does nothing,,11,4,0,0,0.0,0
"Oh Ruby got the eye of Cinder  Gooooood
And her voice  VERYYYYYY GOOOOOOOD",,14,10,0,0,0.0,0
"dang the quality got better
some changes I saw weiss has a deeper voice ruby changes her clothes like MAGIC PD what the hecc happened with Rens hair",,27,17,0,0,0.0,0
"Cinders not dead
*anger 100",,4,3,0,0,0.0,0
Even though i love team JNPR mostly Nora lol i hate how team RWBY has all split up Yang is depressed and Blake have run off which i really hate Feels like her earlier character progression meant nothing Animation has gotten even better incredible I cant tell if there has been a short timeskip because Ruby looks so different she looks so much better,,64,28,0,0,0.0,0
Cinders voice actress is on point ,,7,5,0,0,0.0,0
Tyrian is like the messed up hyena from the lion king,,11,5,0,0,0.0,0
1047 HIS ARM IS A TREE HIS ARM IS A TREEEEE,,11,11,0,0,0.0,0
Cinder is looks so good Nihahah Scratches looks good And her voice D I am very happy that I can not hear your voice,,24,13,0,0,0.0,0
"When the Grimms pop out the big ass mud stains from the floor at Salems crib notice an *important detail*
The moon in the little pools reflection is whole When you look up to the sky however the moon is shattered Then when they unzoom it almost feels like the stains are holes poked in the ground 
Any thoughts ",ass,59,30,1,0.01694915254237288,0.03333333333333333,1
"Woah the animation looks amazing
I was shocked to see Pyrrhas crown as the sword handle It gave me the feels",,20,10,0,0,0.0,0
"XD anyone else realize that the 759 RNJR Ren jr  
IM DED",,13,9,0,0,0.0,0
ITS GOT A CUTE LITTLE BUNNY ON IT,,8,8,0,0,0.0,0
Why not RRNJ orange Its a color and Ruby is the leader,,12,7,0,0,0.0,0
Pyrrhasstilldeadanditsucks,,1,1,0,0,0.0,0
Anyone else like 13s animation better Just me Ok,,9,6,0,0,0.0,0
I miss monty oum ,,5,4,0,0,0.0,0
"That was some fine metal you brought me Where did you get it from
I looted my dead friends remains",,19,10,0,0,0.0,0
Shoutout to those who initially thought Oscar was the Spring Maiden Somehow,,12,7,0,0,0.0,0
Permission to call Ruby and Noras attack Lightning Speed,,9,7,0,0,0.0,0
Am I the only one who thinks this farmhand boy is kinda cute Also I saw the error with Noras animation one of the viewers mentioned at 1650,,28,15,0,0,0.0,0
112 mercurys face is so disgusted by the grim and emerald is so shocked and terrified Oof,,17,9,0,0,0.0,0
"Thanos snap
Pyrrha I dont feel so good",,7,6,0,0,0.0,0
I still cant believe it that Pyrrha is gone Team RWBY is separated Yang gets her arm removed Ozpin died and more *D I S S A P O I N T E D*,"S, S",34,23,1,0.058823529411764705,0.08695652173913043,2
They better sell those hoodies,,5,4,0,0,0.0,0
Anyone else rewatching this all rwby in 2018,,8,4,0,0,0.0,0
"1626
I agree Im saddened its neither a gun *Nora* grenade launcher ",,12,9,0,0,0.0,0
I bet that Cinder didnt SEE coming that,,8,6,0,0,0.0,0
"648 
Me Hey  We found a boyfriend for Ruby ",,11,8,0,0,0.0,0
Id give an arm to watch episode 2 right now Ehh Ehhhh HAHAhahaha *cries*,,14,9,0,0,0.0,0
Jaun I got it We hit it harder TFS Gohan That sounds like something my dad would say,,18,10,0,0,0.0,0
pyrrha used to be on the front of pumpkin pete cereal,,11,5,0,0,0.0,0
Wish I could dislike the dislikes,,6,4,0,0,0.0,0
Oscar is a precious cinnamon roll child,,7,5,0,0,0.0,0
Rwby isnt the same without Pyrrha,,6,3,0,0,0.0,0
"Tyrian is the RWBY equal to Joker
Both criminally insane both have the craziest laughs
and both like to toy with their victims",,21,10,0,0,0.0,0
603 *When you tell a joke to your friends but only you find it funny* ,,16,7,0,0,0.0,0
"And I will
Guess youll be bait pal also I am honestly worried whenever I see that look of maniacal glee on Noras face xD",,24,15,0,0,0.0,0
why does hazels voice actor sound like some kind of warhammer 40k terminator ITS AWSOME,,15,10,0,0,0.0,0
They really stepped up the animation detail and crispness this episode,,11,6,0,0,0.0,0
Anyone else rewatching all four volumes in 2018,,8,4,0,0,0.0,0
Wow the animation is amazing now,,6,3,0,0,0.0,0
Yay Cinder deserved it Finally,,5,4,0,0,0.0,0
I started laughing like joker when he took off his chest plate,,12,6,0,0,0.0,0
isnt it ironic how johns hoodie has the bunny of the same cereal brand that phyrrah was published  on ohhhhhh the feels,,23,12,0,0,0.0,0
Oscar is the compost king ,,6,4,0,0,0.0,0
When the 4th season gets realesed on ur bday,,9,6,0,0,0.0,0
hello my name is ozma I mean proffeser Ozpin  Only people who have watched S6 know what I mean ,,21,12,0,0,0.0,0
WTH happened to Rubys semblance I thought it was speed before and now its like frickin shape shifting like raven can turn into a raven and qrow can turn into a crow except Rubys name is ruby rose so it makes sense she can turn into roses,,47,22,0,0,0.0,0
Boi 753,,2,2,0,0,0.0,0
1452 a full minute of ruby just dying,,8,5,0,0,0.0,0
JESUS CHRIST UR OUTFIT RUBY,,5,5,0,0,0.0,0
*H I S  A R M  I S  A  T R E E*,"S, S",17,17,1,0.11764705882352941,0.11764705882352941,2
"Blacksmith whered you get it
Jaune from a friend of mine
My answer JAUNES DEAD UNOFFICIAL GIRLFRIEND",,15,10,0,0,0.0,0
That psychopath laughter man,,4,4,0,0,0.0,0
Ruby looks so old now,,5,1,0,0,0.0,0
Ruby looks older,,3,2,0,0,0.0,0
so Salem has Geoff Ramsey Princess Zuko Jared Leto and Jontron as her lackeys,,14,9,0,0,0.0,0
Ive only now started watching RWBY but this season is shaping to be pretty good,,15,8,0,0,0.0,0
Dont u dare insult the legendary bunny jacket ,,9,7,0,0,0.0,0
I laughed way too hard at 1519,,7,4,0,0,0.0,0
Turns into fallout where if you help a place alot it instantly becomes a place to hide out at,,19,8,0,0,0.0,0
"The last volume my brother said the graphic was bad
BUT HE WRONG NOW D",,14,9,0,0,0.0,0
"notice all the costume changes
Noras heart has a strike through it now",,12,5,0,0,0.0,0
"animation got better 
the fight scenes got duller",,8,6,0,0,0.0,0
I remember when I first watched this earlier this year in like January Oooooohhhhhhhh the memories,,16,9,0,0,0.0,0
When your friends laugh at your hoody that reminds you of your dead girlfriend,,14,7,0,0,0.0,0
Ruby looks better and I love her ,,8,5,0,0,0.0,0
"GUYS I GOT IT
WE HIT IT HARDER XD XD imma dying",,11,11,0,0,0.0,0
"THE ANIMATION HAS TEXTURES NOW YAY 
love the story but boy am I happy to see the improvements in the animation as the series has progressed Super cool to see the evolution of a project like this",,37,19,0,0,0.0,0
How is Jean ok He lost his girl,,8,5,0,0,0.0,0
I just found this show and binge watched it for the past two days Nice timing,,16,6,0,0,0.0,0
"Jaune to Ruby Use everything youve got
*Ruby uses Nora to hit the Grimm*
In conclusion Rubys got Nora",,17,11,0,0,0.0,0
"WOW techincal quality improved a lot since last season
By the way I cant be the only one who tried to make up a teams name out of some friends names
Team Glaves or team Vertigo Im still working on it LOL
What would be your teams name",,45,18,0,0,0.0,0
yes is very good two players and one hundred by the away were a wonterfull word,,16,4,0,0,0.0,0
Pyrrah In Jaunes outfit ,,5,5,0,0,0.0,0
seeing the new bad guys im starting to miss Roman Torchwick,,11,5,0,0,0.0,0
1526 Jaun is  good at puppy eyes,,8,6,0,0,0.0,0
So anyone care to explain the new outfits powers or yangs condition,,12,7,0,0,0.0,0
Oscar is the Compost King,,5,3,0,0,0.0,0
This show is now *E D G Y*,,8,5,0,0,0.0,0
Holy crap I just realized that the bunny on Jaunes sweatshirt is the same cereal that Pyrrha posed for apparently way back when My mind is blown now,crap,28,13,1,0.03571428571428571,0.07692307692307693,1
*takes off skin*,,3,2,0,0,0.0,0
why is Diego from dora in this,,7,2,0,0,0.0,0
Tyrians laugh gives me nightmares,,5,3,0,0,0.0,0
"613 omg Leo Valdez is that u
Wait wrong fandom sry",,10,8,0,0,0.0,0
Im so happy Team JNPR is getting more screentime It was great seeing Ruby and Nora playing off each other in Chibi but Im really looking forward to seeing it this season,,32,14,0,0,0.0,0
I just want to say something very important right now Jaune your hoodie is amazing,,15,4,0,0,0.0,0
*His arm is a tree* *HIS ARM IS A TREE*,,10,8,0,0,0.0,0
I am for team ReJoiNeR,,5,3,0,0,0.0,0
"Black smith Where did you get it from
Jaune From a friend
Me *cries* Pyrrha plz come back nuuuuuuuuuuuuuu",,17,10,0,0,0.0,0
1 The way Ren sounds like a proud father when Jaune comes out 2 The red cloth around Jaunes waist Even if it didnt come directly from her I think we all know who its supposed to reference,,38,18,0,0,0.0,0
 Its three volumes later and I still tear up at the mention of Pyrrah What have you done CRWBY ,,21,11,0,0,0.0,0
Hey Jaune You know what hurts about Pumpkin Pete Pyrrha was on the cover,,14,8,0,0,0.0,0
His body is too *thicc* to break though,,8,4,0,0,0.0,0
Been binge watching this series and dang that animation quality has improved,,12,8,0,0,0.0,0
Gotta love this PS4 graphics,,5,4,0,0,0.0,0
ever since he appeared in Chibi I just hear Floyds voice coming from the Geist,,15,8,0,0,0.0,0
"1048 Jaune HIS ARM IS A TREE
MeBrilliant observation genius",,9,9,0,0,0.0,0
REN with his captain Levi move ,,7,5,0,0,0.0,0
*Ruby starts laughing at Jaunes sweater* Me Welp good to know shes still the Ruby we all know and love,,20,10,0,0,0.0,0
Are they in hell or something,,6,2,0,0,0.0,0
Looking back at the first episode of volume 4 I just realized that there are two empty seats at Salems table Does anyone know who they belong too,,28,12,0,0,0.0,0
"Tyrian is Good Boy
Tyrian is 2nd Best Boy 
Hes not a nice boy
But he still a good boy",,18,11,0,0,0.0,0
Its rather ironic that Cinder is actually the least threatening of the villains and is reduced to being a joke to her cohorts,,23,8,0,0,0.0,0
605 *in Jeffree Stars voice* were already hating it,,9,6,0,0,0.0,0
Wait a minute whos da young boy with freckels,da,9,6,1,0.1111111111111111,0.16666666666666666,1
"That Tyrion fellow seems really uh unhinged
Also IS THAT A GOLEM TYPE GRIMM",,13,11,0,0,0.0,0
" 8 56  Ren and Nora sittin in a tree IDK 
I just ship Nora and Ren",ship,18,13,1,0.05555555555555555,0.07692307692307693,1
Captions at 1558 audience sobbing Goddammit roosterteeth,,7,6,0,0,0.0,0
"i just remebered something on the team battles  there was
emerald
sinder
mercury
a
and
neo sooooooo tourchwrick friends with sinder sorry if my spelling is bad",,22,11,0,0,0.0,0
At 525 isnt that music from Once Upon a Time Or am I just crazy,,15,10,0,0,0.0,0
I just love rwbys laugh so much Im laughing so hard right now I asked my parents if rwbys laugh sounded like mine and they said yes I agree with them tho,,32,17,0,0,0.0,0
401 so the maidens ARE susceptible to the Silver Eyes,,10,6,0,0,0.0,0
"Ruby What did you do Send in a box top for a prize
Jaune Yeah fifty
Ruby *laughs even harder*",,18,10,0,0,0.0,0
At about 940 I thought that rwby should put some electricity on Nora because doesnt she go crazy with electricity,,20,10,0,0,0.0,0
Nice improvement into graphics,,4,3,0,0,0.0,0
Jaune I love your hoodie no matter what,,8,5,0,0,0.0,0
Damnthe animation has gotten a LOT better,,7,4,0,0,0.0,0
"I cant help but think
*BENDY WTFH DID U DO 2 BORIS*",,11,10,0,0,0.0,0
I just bought season 4 and 5 on BD but i havt ripped them yet so i can watch on mobile I never thought to check youtube Awesome,,28,15,0,0,0.0,0
DAMMM JAUNE ourr boii is growing look at them new armor looks LIT fam,,14,8,0,0,0.0,0
Tem um coelhinho fofo nele Kkkkkkkkkkkkkkkkkkkkkk Adorei a risada dela,,10,9,0,0,0.0,0
Youd be fine without a weapon they said youre the strategist,,11,4,0,0,0.0,0
My name is Klein,,4,2,0,0,0.0,0
I love that laugh *whispers* and I love you Ruby,,10,7,0,0,0.0,0
I want that bunny hoodie,,5,3,0,0,0.0,0
106 OH FLIP THATS A SCARY PLACE and at 1457 RUBY DONT LAUGH AT JAUNES HOODY MEN CAN ALSO WEAR STUFF LIKE THAT,,23,21,0,0,0.0,0
Wow the animation is a huge step up from previous volumes,,11,6,0,0,0.0,0
cinder is pretty ,,4,3,0,0,0.0,0
"We were friend from the first day of school Jaune
We fought grimms together
We almost died and after ALL this time
You show me this BUNNY HOODIE",day,25,13,1,0.04,0.07692307692307693,1
Watching this again they used the same voice actor of close to the same as the English Dub for Ainz Ooal gown in overlord,,24,10,0,0,0.0,0
RNJR  I read that as Ranger So yah I give my vote to Ren  But JNRR is pretty cute too Edit 1632 Ha I was right,,28,19,0,0,0.0,0
"Hooray for good animation
Correction better but still not very good animation",,11,6,0,0,0.0,0
that intro where the grimm climbed out of like a slime puddle or something it looked like the animation was from Spiderman int othe Spiderverse kidna thing,,27,13,0,0,0.0,0
In volume 6 I hope they add more real world mechanics like actually running out of ammunition,,17,10,0,0,0.0,0
this story took a huge turn in the middle of season 3 it went from school dayinthelife to well this is spoiler free but you know,,26,11,0,0,0.0,0
"*watching ruby laugh*
OMYGOD SEEING HER HAPPY MAKES ME HAPPY HHHHHHHHH",,10,10,0,0,0.0,0
Rubys reaction is just priceless and cute 1449,,8,5,0,0,0.0,0
802 God dang it with the fourth wall breaks XD,,10,7,0,0,0.0,0
"Jaune Guys I got it We hit it harder
Ren That sounds like something Goku would say
Ruby and Nora Right *Charges into battle*",,22,14,0,0,0.0,0
Beacon fallen  wannabe huntress,,5,5,0,0,0.0,0
Whos here just for watching it again D,,8,3,0,0,0.0,0
Well after the ending of Season 3 and the new edgy redesigns the shows probably gonna get really dark Cereal jokes and Ruby laughing the hardest she ever has Never mind,dark,31,14,1,0.03225806451612903,0.07142857142857142,1
Tirion stole a name a sitting position and a mindstate all from characters better than hin,,16,8,0,0,0.0,0
seems like they got bit older,bit,6,2,1,0.16666666666666666,0.5,1
RUBY IS ROASTING JAUNE OML And the animation is better Theyre actually touching stuff,,14,11,0,0,0.0,0
